Column1,Title,label
28,국내 증시서 발빼는 外人…10거래일 연속 '최장' 순매도(종합),1
29,코스피·코스닥 장중 사상 최고치 경신…코스닥 910선 돌파,1
30,사드보복 후폭풍에도…미래투자 더 늘린 현대모비스,1
31,"[클릭 e종목]""현대모비스, 3분기 실질적으론 시장 기대치 상회""",1
32,"자동차株, 멕시코 우려 해소에 주가 '가속'",1
33,코스피 2190선 유지…코스닥은 하락세,0
34,"라디안, 조선대기술지주와 합작투자회사 설립 협약",1
35,"코스피, 하루 만에 2000선 회복…개인·외국인 매수세 유입",1
36,"현대모비스, 어린이보호구역 500m 前 차체 낮추는 新기술 개발",1
37,"코스피, 개인·기관 '팔자'…5일째 약세마감",-1
38,난기류 휩싸인 현대모비스 분할합병…참여연대 '맹공',-1
39,"電車 약세, 코스피 사흘만에 반락…1940선 턱걸이",-1
40,"코스피, 장초반 개인vs외인·기관 매매공방 치열",0
41,'실적 부진' 현대차 3인방 동반 급락…장 초반 코스피 약세,-1
42,"코스피, 외인·기관 매도에 1970선으로 하락",-1
43,"[특징주]블록딜 무산 여파…현대글로비스 下, 현대모비스 10%↑",1
44,"코스피, 기관 vs 외인 매매공방…1930선 초반 등락",0
45,10대 그룹 사내유보금 과세 1조원 안팎,0
46,[굿모닝증시]저점 높여가는 코스피,1
47,"코스피, 개인·기관vs 외국인…보합권 내 등락",0
48,"LG하우시스, 자동차 경량화부품 2종 신기술 인증",1
49,"코스피, 外人·기관 동반매도세 확대…2000선 위협",-1
50,"현대모비스, '2015 글로벌 100대 부품업체' 6위",1
51,"코스피, 미중협상 변수출현 후 상승출발…2100 '사수'",1
52,"덕양산업, 현대모비스 베이징 합작법인 지분 인수",1
53,"코스피, 中 폭락여파에 1830선 붕괴…2년來 최저치",-1
54,"외국인·기관 ‘팔자’, 코스피 사흘째 하락…‘현대차’ 다시 쓴 신저가",-1
55,"코스피, '외인'의 힘 하루만에 반등…1980선 회복",1
56,'현대차 3인방' 판매부진에 동반 약세‥현대차 4%↓,-1
57,"코스피, 외인 매도 확대되며 하락 전환… 코스닥 강보합 유지",1
58,"정몽구 회장, 1~3분기 보수 79.5억원..신성재 前 사장 90.9억원",1
59,"현대차, 365일 정비 서비스 실시…'국내 유일'",1
60,"현대차그룹, 엘리엇 끼어들자 '주가경로 재탐색'",1
61,목소리 내는 국민연금에 기업들 '긴장',-1
62,"현대차그룹, 美자율주행 SW기업과 합작법인…역대 최대 투자",1
63,"코스피, 1950선으로 '털썩'…기관·외인 동반 매도",-1
64,‘더블 공세권’ 아파트 중산매곡 에일린의 뜰 쾌적한 주거환경 갖춰 인기,1
65,"""달러 약세로 외인 매수"" 코스피 2100선 사수",1
66,"[전국체전] 리우올림픽 2관왕 구본찬, 남자 90m서 대회 신기록",1
67,"코스피, 외인 순매수 강화에 상승전환…2060선 회복",1
68,"코스피, 4일만에 돌아온 외국인…2050선 회복",1
69,"코스피, 사흘만에 외국인 순매수…0.32% 상승 마감",1
70,"KBL 신인드래프트, 순위추첨과 선수지명 날짜 달리한다",0
71,"현대모비스, 3Q 영업익 전년비 15%↓…완성차 부진·리콜 영향",-1
72,"코스피, 13거래일 연속 상승…역대 최장 기록",1
73,또 도 넘은 엘리엇…현대차 지배구조 개편 재차 압박,-1
74,"코스피, 개인·외인vs기관..2070 초반 왔다갔다",0
75,"코스피, 미·중 무역전쟁 불확실성에도 2460선 안착",1
76,"자동차株 급락…""세타2 엔진 추가 리콜 가능성 때문""",-1
77,"코스피, 외국·기관 순매도에 1% 넘게 '하락'…""글로벌 경기 우려""",-1
78,"현대모비스, 2017 전국 우수대리점 초청 세미나",1
79,"코스피, 2470선 돌파…연이틀 사상 최고치",1
80,반환점 돈 3Q 실적발표…'몸값' 올린 기업들 많다,1
81,"코스피, 끝없는 외인 '매도' 폭탄…1%대 하락",-1
82,"코스피, 외국인·기관 '사자'에 2550선 회복",1
83,"코스피, 기관 매도에 3일 만에 하락전환…2390선은 지켜",-1
84,"국내 자동차 업계 종사자 절반, ""전기차 산다면 테슬라""",-1
85,[현대기아차 목표 대폭 하향]판매·노사·구조 '3중덫'…책임경영 정공법,-1
86,"코스피, 外人 '팔자' 보합권 등락",-1
87,"코스피, 개인·기관 '사자'에 상승전환…1960선 회복",1
88,코스피 이틀째 하락‥의약품업종 5% 급락,-1
89,[주간추천종목]KB증권,0
90,외국인+기관 동반 순매도…코스피 장 초반 약세,-1
91,"코스피, 기관 '팔자' 강화…2000선 초반 등락",1
92,"현대모비스, 3Q 영업익 7234억원…전년比 5.5%↑",1
93,"현대모비스, 144개 협력사 대상 무상 안전컨설팅 시행",1
94,"코스피, 올 外人 최대 매수로 ↑…1957.83",1
95,"코스피, 美 금리인상 불확실성에 등락 반복",-1
96,"코스피, 대외호재에 6일 연속 강세…1990선 육박",1
97,"[특징주]현대차 3인방, 원高에도 '반등'",1
98,"코스피, 외국인 귀환에 2420선 육박…삼성전자 260만원 돌파",1
99,中 증시 안도에 코스피·코스닥 상승폭 확대(종합),1
100,"코스피, 美금리인상 우려+삼성전자 악재에 ‘2000선 위협’",-1
101,[갤럭시 쇼크] 삼성전자 시총 하룻새 16조원 증발,-1
102,"코스피, 외인·기관 매도에 하락출발…시총 상위株 부진",-1
103,"코스피, 홍콩 '복면금지법' 이슈로 장 막판 후퇴…2020선 하락마감",-1
104,"컴팩트카 강화하는 벤츠, 어떤 차 있나 보니",0
105,"현대차, 내달 17일 주총서 정몽구 회장 사내이사 재선임",0
106,[부고]조한용(삼성증권 상무)씨 부친상,0
107,"코스피, 미국발 훈풍에 外人 '사자'…1950선 회복",1
108,"코스피, 美·中 호재에 기관·외국인 '쌍끌이'…2060선 탈환",1
109,"현대모비스, AI 비서 '마이봇' 함께 일한다…1000만 사내 정보 공유",1
110,코스피 휴장 앞두고 소폭 강세..1970선 전후공방,1
111,"코스피, 2120선 가볍게 돌파…5일 연속 강세",1
112,전기차 대중화에 현대모비스 '가속페달',1
113,코스피 2080선 턱걸이…기관 나홀로 '팔자',0
114,"KGC 오세근, KBL 3라운드 국내선수 생산성지수 1위",0
115,"코스피, 기관·외국인 매도에 하락 반전…2350선 후퇴",-1
116,[人자리 위협하는 AI]일자리냐 미래車냐…현대차의 딜레마,-1
117,"코스피, 기관 매도로 하락 출발…이어지는 '숨고르기'",0
118,"코스피, 기관 집중 매도에 쉼표…높아진 가격 부담",-1
119,"코스피, 미국發 훈풍에 외국인 '사자'…나흘째 상승",1
120,"코스피, 새해 3일 연속 하락세… 1990선 보합",0
121,"HMC투자증권, 최고 연 10.0% 제공 ELS 등 2종 공모",-1
122,"코스피, 1980 중반 등락..자동차 3인방 상승세",1
123,"성동구, 기업과 손 잡고 청년취업 지원",1
124,코스피 1950선 회복…불안한 환경 속 외국인·기관 '매수',1
125,"새누리 이중효 후보, ""전남도 소유 산단부지 50년간 기업에게 무상임대""",1
126,[집중취재]상반기 자동차시장 전망,1
127,"[클릭 e종목]""현대모비스, 4Q 실적 예상 하회…목표가 ↓""",0
128,"코스피, 6년만에 2200선 뚫었다…삼성電 사상 최고가",-1
129,"코스피, 개인·기관 '사자'..2060선 회복",1
130,"코스피, 외인·기관 '팔자'에 약보합 마감…2010선 아래로",1
131,[현대차그룹 인사]양승욱 현대모비스 부사장 프로필,-1
132,"코스피, 개인·외국인 vs 기관 매매공방… 혼조세 심화",0
133,"현대모비스, 진천 '미르숲'서 음악회 개최",0
134,"자동차업, 한전부지 인수 후폭풍 우려…투자의견↓<삼성證>",0
135,"韓 성장률 2.8%로 올렸지만, 정책 리스크 남았다는 S&P(종합)",-1
136,"현대모비스, 250개 협력사에 수박 1만여 통 전달",1
137,"코스피, 기관 '팔자' 전환에 상승폭 축소...1920선 강보합",1
138,"코스피, ‘파는’ 외국인에 사흘 만에 약세···2030선 횡보",-1
139,"코스피, 사흘만에 반등…외국인 열흘째 순매수",0
140,코스피 2200선 회복…코스닥도 동반 상승,1
141,"경영계 ""최저임금 문제, 노사 책임으로 돌리는 정부 무책임""",1
142,"현대모비스, 수익성 악화요인 소멸",0
143,"코스피, 8일만에 숨고르기…1990선 하회",1
144,"코스피, 전날 상승 피로감…소폭하락 마감",-1
145,"코스피, 막판 상승 전환하며 강보합 마감…2006.66",-1
146,[무인 자동차 시대 개막]자율주행 속도에 바빠진 부품업계,1
147,"코스피, 그렉시트 우려에 외국인 매도확대...1930선 후퇴",1
148,"코스피, 외국인 '매도 강화'에 하락마감…장중 2280선 붕괴",-1
149,"코스피, 연 초 부진한 흐름 이어가…0.06% ↓",-1
150,"[특징주]현대모비스, 2Q 실적 기대감에 강세",-1
151,"코스피, 外人 매수에 소폭 상승…2164.64",1
152,코스피 주춤…삼성전자 2% 하락·NAVER 80만원대 붕괴,1
153,"코스피, '옐런 효과' 미미…옵션만기 하루앞둔 부담감",-1
154,"현대모비스, 현업팀이 직접 신입사원 뽑는다…""직무 경험 중요성 높아져""",-1
155,"관세청-기업, ‘K-브랜드’ 위조품 단속강화 방안 모색",1
156,"""법인세 상위 10대 기업, 세금감면 42% 차지""",-1
157,"코스피, 대외악재 속 나흘만에 소폭 반등...1910선 강보합",1
158,환율 탓… 현대모비스 영업익 주춤(상보),1
159,"'후진사고 예방' 현대모비스, 주차보조 레이더 최초 독자 개발",-1
160,"현대모비스, 오는 31일 기업설명회 개최",1
161,"[美금리 쇼크]外人 코스피 순매도 규모, 이달들어 2조 돌파",1
162,"현대모비스, 울산 전기차 부품공장 착공…친환경 거점 구축",1
163,"코스피, 외국인·기관 동반 매수...1940선 상승세",1
164,"남북 경협株↑…코스피, 3거래일만에 2460선 탈환",1
165,"코스피, 투신 매수세에 1950선 회복…電·車 ↑",1
166,글로벌 시총 500위권 한국 기업 달랑 2곳,0
167,"코스피, 외국인 매도전환에 상승폭 반납…혼조세 지속",-1
168,"코스피, 한달만에 2100선 마감…기관 '사자'",1
169,2400 코앞까지 끌어올린 개미,0
170,"코스피, 기관 매수세에 2050선 회복",1
171,"코스피, 外人·기관 쌍끌이 매수에 2010선 돌파",1
172,"[클릭 e종목]“현대차, 의미있는 산업적 변화는 없어”",-1
173,외국인 장 초반 3000억 순매수…삼성전자·SK하이닉스 4% 급등(상보),1
174,명실상부 '정의선 체제' 현대차그룹 고강도 사장단 인사 배경은,0
175,"코스피, 기관 '팔자'에 이틀째 하락",-1
176,"코스피, 원·달러 환율 급등세 진정…1950선 회복",1
177,"코스피, 사흘 만에 반등…코스닥은 1%대 상승",1
178,"""방글라데시에서 현대 아반떼 8천만원에 팔리는 이유""",1
179,코스피 상승 반전…0.47%↑,1
180,"차익실현 나선 기관, 코스피 2060선 마감",1
181,"현대차 3社·조선 '빅4', 기름칠 끝내고 달린다",1
182,통상임금 소송서 '신의칙' 엄격 해석 굳어지나,-1
183,"[단독]현대모비스, '국내+해외' 영업조직 합쳤다",1
184,"코스피, 외인·기관 '팔자'..1920대 중반서 등락",-1
185,"최저치 기록 경신…코스피, 장 중 2172선까지 하락 '1년6개월만'",-1
186,"코스피, 기관·외국인 ‘사자’에 2280선 회복",1
187,"코스피, 2060선까지 후퇴…연기금 '팔자'",-1
188,"현대모비스, 결연가구 '사랑의 떡국 나눔' 활동",1
189,"코스피, 너무 올랐나? 숨고르기…삼성전자 종가 기준 최고치",1
190,"[클릭 e종목]""현대모비스, 현대차그룹 친환경차 확대 모멘텀…목표가↑""",1
191,"장 종료 후 ""이 공시 눈에 띄네""(코스피-24일)",0
192,'MK맨' 우유철 현대로템 부회장 퇴임…정의선 체제 가속화,1
193,"코스피, 기관 '팔자'…4일 연속 약세",-1
194,"코스피, 1970 코앞…코스닥은 1% 넘게 올라",1
195,"코스피, 그리스 우려에 7거래일만에 약세…2070선 후퇴",-1
196,"코스피, 삼성電 '쇼크' 딛고 2거래일째 상승 마감",1
197,"코스피, 외인 5000억원 팔자에 2100선 '무너져'",-1
198,"코스피, 국제유가 상승VS 6월 변동 경계감…보합",0
199,코스피 2500 재진입 성공…외국인·기관 동반 매수,1
200,"코스피, 삼성전자 상승 안고 2050 회복 '기웃'",1
