Date,count,pos,neg
2015-09-07,6,6,0
2015-09-08,2,2,0
2015-09-09,2,2,0
2015-09-10,4,3,1
2015-09-11,1,1,0
2015-09-14,3,1,2
2015-09-15,4,4,0
2015-09-16,2,2,0
2015-09-17,1,0,1
2015-09-18,1,1,0
2015-09-21,3,1,2
2015-09-22,3,3,0
2015-09-23,4,2,2
2015-09-24,1,0,1
2015-09-25,2,2,0
2015-09-30,2,2,0
2015-10-01,3,3,0
2015-10-02,1,0,1
2015-10-05,6,6,0
2015-10-06,1,1,0
2015-10-07,2,2,0
2015-10-08,2,2,0
2015-10-12,8,4,4
2015-10-13,8,7,1
2015-10-14,2,1,1
2015-10-15,3,3,0
2015-10-16,1,0,1
2015-10-19,3,3,0
2015-10-21,2,2,0
2015-10-22,6,4,2
2015-10-23,2,1,1
2015-10-26,4,2,2
2015-10-27,3,2,1
2015-10-28,1,1,0
2015-10-29,5,2,3
2015-10-30,2,0,2
2015-11-02,2,2,0
2015-11-03,1,0,1
2015-11-04,3,2,1
2015-11-06,1,0,1
2015-11-09,3,2,1
2015-11-10,1,1,0
2015-11-11,3,2,1
2015-11-12,4,3,1
2015-11-13,1,1,0
2015-11-16,4,2,2
2015-11-17,3,1,2
2015-11-18,2,2,0
2015-11-19,5,4,1
2015-11-20,2,2,0
2015-11-23,2,2,0
2015-11-24,1,1,0
2015-11-25,3,2,1
2015-11-27,1,1,0
2015-11-30,5,4,1
2015-12-01,3,2,1
2015-12-02,2,2,0
2015-12-04,4,2,2
2015-12-07,3,1,2
2015-12-08,3,3,0
2015-12-09,5,4,1
2015-12-10,2,1,1
2015-12-11,2,0,2
2015-12-14,7,4,3
2015-12-15,5,3,2
2015-12-16,2,2,0
2015-12-17,1,1,0
2015-12-18,2,1,1
2015-12-21,2,2,0
2015-12-22,1,0,1
2015-12-23,5,2,3
2015-12-28,7,5,2
2015-12-29,4,3,1
2015-12-30,1,1,0
2016-01-04,5,4,1
2016-01-05,5,3,2
2016-01-06,5,3,2
2016-01-07,2,2,0
2016-01-08,4,2,2
2016-01-11,13,4,9
2016-01-12,5,2,3
2016-01-13,5,4,1
2016-01-14,4,3,1
2016-01-15,1,1,0
2016-01-18,6,4,2
2016-01-19,3,2,1
2016-01-20,2,1,1
2016-01-21,2,2,0
2016-01-22,1,1,0
2016-01-25,6,4,2
2016-01-26,1,1,0
2016-01-27,3,0,3
2016-01-28,4,2,2
2016-01-29,1,1,0
2016-02-01,3,3,0
2016-02-02,1,1,0
2016-02-03,5,4,1
2016-02-04,2,2,0
2016-02-11,5,3,2
2016-02-12,3,2,1
2016-02-15,4,3,1
2016-02-16,3,2,1
2016-02-17,1,1,0
2016-02-18,2,2,0
2016-02-19,2,2,0
2016-02-22,9,8,1
2016-02-23,5,3,2
2016-02-24,3,2,1
2016-02-25,4,4,0
2016-02-26,1,1,0
2016-02-29,7,4,3
2016-03-02,5,3,2
2016-03-03,1,1,0
2016-03-07,4,2,2
2016-03-08,1,0,1
2016-03-09,2,1,1
2016-03-10,4,4,0
2016-03-11,2,2,0
2016-03-14,2,2,0
2016-03-15,1,1,0
2016-03-16,2,1,1
2016-03-17,2,1,1
2016-03-18,4,2,2
2016-03-21,3,3,0
2016-03-22,5,1,4
2016-03-23,3,3,0
2016-03-24,3,3,0
2016-03-25,1,0,1
2016-03-28,3,3,0
2016-03-29,2,2,0
2016-03-30,2,1,1
2016-03-31,7,6,1
2016-04-01,1,0,1
2016-04-04,6,3,3
2016-04-05,2,2,0
2016-04-06,1,1,0
2016-04-07,7,5,2
2016-04-08,1,1,0
2016-04-11,4,4,0
2016-04-14,9,8,1
2016-04-15,1,0,1
2016-04-18,5,5,0
2016-04-19,3,3,0
2016-04-20,1,1,0
2016-04-21,2,2,0
2016-04-25,5,4,1
2016-04-26,1,0,1
2016-04-27,3,3,0
2016-04-28,1,1,0
2016-04-29,2,2,0
2016-05-02,3,3,0
2016-05-04,1,1,0
2016-05-09,10,7,3
2016-05-10,2,1,1
2016-05-11,2,1,1
2016-05-12,3,3,0
2016-05-13,1,0,1
2016-05-16,6,2,4
2016-05-17,3,1,2
2016-05-18,2,0,2
2016-05-19,4,2,2
2016-05-20,2,2,0
2016-05-23,1,1,0
2016-05-24,2,1,1
2016-05-25,3,1,2
2016-05-26,4,4,0
2016-05-27,2,0,2
2016-05-30,5,5,0
2016-05-31,2,2,0
2016-06-01,2,2,0
2016-06-02,2,1,1
2016-06-03,3,1,2
2016-06-07,4,3,1
2016-06-08,3,3,0
2016-06-09,1,1,0
2016-06-10,4,2,2
2016-06-13,3,1,2
2016-06-15,7,6,1
2016-06-16,1,1,0
2016-06-17,2,2,0
2016-06-20,3,3,0
2016-06-21,4,3,1
2016-06-22,1,1,0
2016-06-23,2,2,0
2016-06-24,1,0,1
2016-06-27,5,2,3
2016-06-28,2,2,0
2016-06-29,3,2,1
2016-06-30,5,3,2
2016-07-01,1,1,0
2016-07-04,1,1,0
2016-07-05,4,3,1
2016-07-07,4,4,0
2016-07-08,3,2,1
2016-07-11,3,3,0
2016-07-12,2,2,0
2016-07-13,1,1,0
2016-07-14,3,2,1
2016-07-15,2,2,0
2016-07-18,4,4,0
2016-07-19,2,1,1
2016-07-20,4,2,2
2016-07-21,4,2,2
2016-07-22,1,1,0
2016-07-25,3,3,0
2016-07-26,2,2,0
2016-07-27,6,5,1
2016-07-28,4,3,1
2016-07-29,1,1,0
2016-08-01,5,3,2
2016-08-02,1,1,0
2016-08-03,6,5,1
2016-08-04,2,2,0
2016-08-08,6,5,1
2016-08-10,2,2,0
2016-08-11,5,5,0
2016-08-12,2,1,1
2016-08-16,6,3,3
2016-08-17,1,1,0
2016-08-18,2,2,0
2016-08-19,1,1,0
2016-08-22,4,4,0
2016-08-23,1,1,0
2016-08-24,2,2,0
2016-08-25,2,1,1
2016-08-26,2,2,0
2016-08-29,4,3,1
2016-08-30,5,3,2
2016-08-31,4,3,1
2016-09-01,3,2,1
2016-09-02,4,1,3
2016-09-05,6,2,4
2016-09-06,1,0,1
2016-09-07,3,3,0
2016-09-08,2,1,1
2016-09-09,1,1,0
2016-09-12,4,1,3
2016-09-13,3,3,0
2016-09-19,4,2,2
2016-09-20,3,2,1
2016-09-21,2,1,1
2016-09-22,5,2,3
2016-09-23,2,0,2
2016-09-26,3,1,2
2016-09-27,2,2,0
2016-09-28,2,1,1
2016-09-29,3,2,1
2016-09-30,3,2,1
2016-10-04,3,3,0
2016-10-05,3,1,2
2016-10-06,2,1,1
2016-10-07,3,2,1
2016-10-10,10,3,7
2016-10-11,6,1,5
2016-10-12,4,0,4
2016-10-13,2,2,0
2016-10-14,4,0,4
2016-10-17,4,1,3
2016-10-18,4,1,3
2016-10-19,6,2,4
2016-10-20,4,2,2
2016-10-21,5,3,2
2016-10-24,2,1,1
2016-10-25,4,2,2
2016-10-26,3,2,1
2016-10-27,7,3,4
2016-10-28,3,3,0
2016-10-31,12,8,4
2016-11-01,3,1,2
2016-11-03,1,1,0
2016-11-04,1,0,1
2016-11-07,3,1,2
2016-11-08,4,2,2
2016-11-09,3,3,0
2016-11-10,4,3,1
2016-11-11,2,2,0
2016-11-14,8,4,4
2016-11-15,6,2,4
2016-11-16,3,1,2
2016-11-17,4,3,1
2016-11-18,3,2,1
2016-11-21,1,1,0
2016-11-22,2,2,0
2016-11-23,2,1,1
2016-11-24,1,1,0
2016-11-29,2,2,0
2016-11-30,5,3,2
2016-12-01,3,3,0
2016-12-02,2,0,2
2016-12-05,1,1,0
2016-12-06,2,0,2
2016-12-07,2,1,1
2016-12-08,3,2,1
2016-12-09,1,0,1
2016-12-12,2,0,2
2016-12-13,1,1,0
2016-12-14,3,1,2
2016-12-15,1,1,0
2016-12-16,2,0,2
2016-12-19,1,0,1
2016-12-20,3,2,1
2016-12-21,1,1,0
2016-12-22,3,2,1
2016-12-23,3,3,0
2016-12-26,4,3,1
2016-12-28,3,2,1
2016-12-29,3,2,1
2017-01-02,3,2,1
2017-01-03,3,3,0
2017-01-04,1,1,0
2017-01-05,6,5,1
2017-01-06,5,4,1
2017-01-09,6,3,3
2017-01-10,1,0,1
2017-01-11,2,2,0
2017-01-12,3,2,1
2017-01-13,3,1,2
2017-01-16,10,3,7
2017-01-17,4,3,1
2017-01-18,3,2,1
2017-01-19,5,3,2
2017-01-20,3,1,2
2017-01-23,7,2,5
2017-01-24,3,2,1
2017-01-25,3,3,0
2017-01-26,3,3,0
2017-01-31,2,1,1
2017-02-01,2,2,0
2017-02-02,5,4,1
2017-02-03,3,2,1
2017-02-06,8,4,4
2017-02-07,2,2,0
2017-02-08,3,3,0
2017-02-09,3,2,1
2017-02-10,3,1,2
2017-02-13,4,3,1
2017-02-14,2,2,0
2017-02-15,2,1,1
2017-02-16,2,1,1
2017-02-17,8,4,4
2017-02-20,8,2,6
2017-02-21,4,2,2
2017-02-22,1,0,1
2017-02-23,1,0,1
2017-02-24,1,0,1
2017-02-27,6,6,0
2017-02-28,4,1,3
2017-03-02,5,4,1
2017-03-03,1,1,0
2017-03-06,2,2,0
2017-03-07,1,0,1
2017-03-08,1,1,0
2017-03-09,3,2,1
2017-03-10,3,1,2
2017-03-13,6,2,4
2017-03-14,2,2,0
2017-03-15,2,1,1
2017-03-16,3,2,1
2017-03-17,3,2,1
2017-03-20,1,1,0
2017-03-21,5,5,0
2017-03-22,3,1,2
2017-03-23,1,0,1
2017-03-24,2,2,0
2017-03-27,6,4,2
2017-03-28,3,2,1
2017-03-29,4,3,1
2017-03-30,7,6,1
2017-03-31,3,3,0
2017-04-03,6,6,0
2017-04-04,3,1,2
2017-04-05,4,4,0
2017-04-06,5,3,2
2017-04-07,3,3,0
2017-04-10,4,3,1
2017-04-11,2,2,0
2017-04-12,1,1,0
2017-04-13,1,1,0
2017-04-14,3,2,1
2017-04-17,3,2,1
2017-04-18,1,0,1
2017-04-19,5,3,2
2017-04-20,3,2,1
2017-04-21,3,3,0
2017-04-24,6,5,1
2017-04-25,2,2,0
2017-04-26,1,1,0
2017-04-27,4,3,1
2017-04-28,1,1,0
2017-05-02,5,5,0
2017-05-04,5,4,1
2017-05-08,4,3,1
2017-05-10,1,1,0
2017-05-11,1,1,0
2017-05-12,1,1,0
2017-05-15,3,1,2
2017-05-16,3,2,1
2017-05-17,1,1,0
2017-05-18,3,3,0
2017-05-19,1,0,1
2017-05-22,3,3,0
2017-05-23,3,3,0
2017-05-25,2,2,0
2017-05-29,1,0,1
2017-05-30,3,3,0
2017-05-31,1,1,0
2017-06-02,1,1,0
2017-06-05,2,2,0
2017-06-08,2,1,1
2017-06-13,2,2,0
2017-06-14,3,2,1
2017-06-15,2,2,0
2017-06-19,1,1,0
2017-06-20,4,3,1
2017-06-21,1,1,0
2017-06-22,1,1,0
2017-06-23,1,1,0
2017-06-26,5,4,1
2017-06-27,1,1,0
2017-06-28,4,2,2
2017-06-29,3,3,0
2017-06-30,3,3,0
2017-07-03,4,3,1
2017-07-04,2,2,0
2017-07-05,1,1,0
2017-07-06,1,1,0
2017-07-07,1,1,0
2017-07-10,5,3,2
2017-07-11,1,1,0
2017-07-13,2,1,1
2017-07-17,2,1,1
2017-07-18,1,1,0
2017-07-19,2,2,0
2017-07-21,1,1,0
2017-07-24,3,1,2
2017-07-25,2,2,0
2017-07-26,2,2,0
2017-07-27,3,3,0
2017-07-28,2,2,0
2017-07-31,2,1,1
2017-08-01,1,0,1
2017-08-02,1,1,0
2017-08-03,2,1,1
2017-08-07,2,1,1
2017-08-08,1,0,1
2017-08-09,1,1,0
2017-08-14,1,0,1
2017-08-16,3,1,2
2017-08-17,1,1,0
2017-08-18,1,1,0
2017-08-21,4,3,1
2017-08-22,2,2,0
2017-08-23,1,0,1
2017-08-24,2,1,1
2017-08-25,4,3,1
2017-08-28,3,2,1
2017-08-29,1,1,0
2017-09-01,1,1,0
2017-09-04,2,2,0
2017-09-05,1,1,0
2017-09-06,1,1,0
2017-09-12,2,2,0
2017-09-13,3,2,1
2017-09-15,1,1,0
2017-09-18,4,4,0
2017-09-19,1,1,0
2017-09-20,2,0,2
2017-09-21,2,2,0
2017-09-25,8,6,2
2017-09-26,1,1,0
2017-09-27,2,0,2
2017-09-29,1,1,0
2017-10-10,9,5,4
2017-10-11,1,1,0
2017-10-12,4,3,1
2017-10-13,3,3,0
2017-10-16,2,2,0
2017-10-17,3,2,1
2017-10-18,3,2,1
2017-10-20,2,2,0
2017-10-23,2,2,0
2017-10-26,1,1,0
2017-10-27,1,1,0
2017-10-30,3,3,0
2017-10-31,3,3,0
2017-11-01,2,1,1
2017-11-03,1,1,0
2017-11-06,1,1,0
2017-11-07,2,1,1
2017-11-08,2,1,1
2017-11-10,1,1,0
2017-11-14,1,0,1
2017-11-15,2,1,1
2017-11-20,2,2,0
2017-11-21,1,0,1
2017-11-23,7,4,3
2017-11-27,4,3,1
2017-11-29,1,1,0
2017-11-30,1,1,0
2017-12-04,2,1,1
2017-12-05,2,1,1
2017-12-06,3,3,0
2017-12-08,1,1,0
2017-12-11,1,0,1
2017-12-12,2,2,0
2017-12-13,2,1,1
2017-12-14,2,2,0
2017-12-15,2,2,0
2017-12-18,1,1,0
2017-12-20,1,1,0
2017-12-21,1,0,1
2017-12-26,2,1,1
2017-12-27,1,0,1
2017-12-28,2,2,0
2018-01-02,5,3,2
2018-01-03,2,1,1
2018-01-04,1,0,1
2018-01-05,1,1,0
2018-01-08,5,5,0
2018-01-09,4,4,0
2018-01-10,3,3,0
2018-01-11,1,1,0
2018-01-12,4,2,2
2018-01-15,3,2,1
2018-01-17,1,1,0
2018-01-18,1,0,1
2018-01-22,1,0,1
2018-01-23,1,0,1
2018-01-24,3,2,1
2018-01-25,1,1,0
2018-01-26,2,1,1
2018-01-29,5,4,1
2018-01-31,3,3,0
2018-02-01,2,1,1
2018-02-02,1,1,0
2018-02-05,6,6,0
2018-02-06,3,2,1
2018-02-07,3,3,0
2018-02-08,2,2,0
2018-02-09,2,1,1
2018-02-12,4,3,1
2018-02-13,1,0,1
2018-02-14,1,1,0
2018-02-19,2,2,0
2018-02-20,1,1,0
2018-02-21,1,1,0
2018-02-22,1,0,1
2018-02-23,1,1,0
2018-02-26,5,5,0
2018-02-27,5,4,1
2018-02-28,1,1,0
2018-03-02,3,3,0
2018-03-05,2,1,1
2018-03-07,1,1,0
2018-03-08,1,1,0
2018-03-12,1,1,0
2018-03-13,1,1,0
2018-03-15,1,0,1
2018-03-16,1,0,1
2018-03-19,1,1,0
2018-03-20,1,1,0
2018-03-23,1,1,0
2018-03-26,3,3,0
2018-03-28,4,3,1
2018-03-29,1,1,0
2018-04-02,3,3,0
2018-04-03,1,1,0
2018-04-04,1,0,1
2018-04-06,3,1,2
2018-04-09,3,3,0
2018-04-10,1,1,0
2018-04-11,2,2,0
2018-04-12,2,1,1
2018-04-13,1,0,1
2018-04-16,4,1,3
2018-04-17,3,2,1
2018-04-18,1,1,0
2018-04-19,2,2,0
2018-04-20,1,1,0
2018-04-23,1,1,0
2018-04-24,1,1,0
2018-04-26,2,1,1
2018-04-27,3,2,1
2018-04-30,4,3,1
2018-05-02,4,1,3
2018-05-03,1,0,1
2018-05-04,2,1,1
2018-05-08,1,1,0
2018-05-09,5,3,2
2018-05-10,1,0,1
2018-05-14,4,3,1
2018-05-21,2,1,1
2018-05-23,7,6,1
2018-05-25,1,0,1
2018-05-28,4,3,1
2018-05-29,1,0,1
2018-05-30,2,2,0
2018-05-31,1,1,0
2018-06-01,1,1,0
2018-06-04,3,2,1
2018-06-08,1,0,1
2018-06-12,1,1,0
2018-06-14,3,2,1
2018-06-18,1,0,1
2018-06-19,4,2,2
2018-06-21,1,1,0
2018-06-25,2,2,0
2018-06-26,1,0,1
2018-06-27,1,0,1
2018-06-28,1,0,1
2018-06-29,3,2,1
2018-07-02,3,1,2
2018-07-04,2,0,2
2018-07-05,2,0,2
2018-07-06,4,2,2
2018-07-09,8,5,3
2018-07-10,5,5,0
2018-07-11,1,0,1
2018-07-16,1,0,1
2018-07-20,1,0,1
2018-07-23,3,2,1
2018-07-24,2,1,1
2018-07-26,1,1,0
2018-07-27,2,2,0
2018-07-30,4,3,1
2018-07-31,1,0,1
2018-08-01,3,3,0
2018-08-02,4,1,3
2018-08-06,3,2,1
2018-08-07,3,3,0
2018-08-08,1,1,0
2018-08-09,5,4,1
2018-08-10,4,4,0
2018-08-13,4,4,0
2018-08-14,1,1,0
2018-08-16,2,2,0
2018-08-17,1,1,0
2018-08-20,1,0,1
2018-08-21,2,2,0
2018-08-22,2,1,1
2018-08-24,1,1,0
2018-08-27,4,1,3
2018-08-28,2,2,0
2018-08-29,1,1,0
2018-08-30,2,2,0
2018-08-31,1,1,0
2018-09-03,4,4,0
2018-09-04,2,1,1
2018-09-05,1,1,0
2018-09-06,2,1,1
2018-09-10,1,1,0
2018-09-11,1,1,0
2018-09-12,2,2,0
2018-09-14,1,1,0
2018-09-17,7,7,0
2018-09-18,3,3,0
2018-09-19,2,2,0
2018-09-21,1,1,0
2018-09-27,2,1,1
2018-09-28,3,2,1
2018-10-01,5,4,1
2018-10-02,3,2,1
2018-10-04,1,1,0
2018-10-05,2,2,0
2018-10-08,4,0,4
2018-10-10,4,3,1
2018-10-11,2,1,1
2018-10-15,3,3,0
2018-10-16,2,2,0
2018-10-17,2,1,1
2018-10-18,1,0,1
2018-10-19,2,1,1
2018-10-22,2,0,2
2018-10-24,1,1,0
2018-10-29,5,2,3
2018-10-30,2,1,1
2018-10-31,1,1,0
2018-11-01,1,0,1
2018-11-02,2,1,1
2018-11-05,1,1,0
2018-11-07,4,4,0
2018-11-08,2,2,0
2018-11-09,1,1,0
2018-11-12,1,1,0
2018-11-13,2,2,0
2018-11-14,2,2,0
2018-11-15,3,3,0
2018-11-16,2,1,1
2018-11-19,4,3,1
2018-11-20,3,2,1
2018-11-21,1,1,0
2018-11-23,1,1,0
2018-11-26,5,3,2
2018-11-27,2,1,1
2018-11-29,1,0,1
2018-12-03,1,0,1
