,content,prob,Sentimental,Date
36,"Bereaved family members bid final farewell to late  chief Lee Kun-heeA hearse carrying the body of late  Group Chairman Lee Kun-hee leaves the funeral hall of  Medical Center in southern Seoul, Wednesday. YonhapThe funeral for late  Group chief, Lee Kun-hee, was held in Seoul on Wednesday as his grieving family and relatives commemorated his lega2020-10-28",0.9752307534217834,Positive,2020-10-28
37,"Will heiresses separate from  empire?By Baek Byung-yeul Lee Boo-jin, left, CEO of Hotel Shilla, and Lee Seo-hyun, chairwoman of  Welfare FoundationAfter  Group Chairman Lee Kun-hee passed away Sunday, attention has focused on the late chairman's two daughters ― Boo-jin and Seo-hyun ― and whether they will try to separate   2020-10-27",0.8950087428092957,Positive,2020-10-27
38,"Lee Jae-yong expected to become  chairman following father's passing  Vice Chairman Lee Jae-yong / YonhapSpeculation is growing over when   Vice Chairman Lee Jae-yong would take the position of chairman in South Korea's largest conglomerate following his father's death, industry insiders said Tuesday, though the heir has already b2020-10-27",0.7175149917602539,Negative,2020-10-27
39," Display wins US approval for panel shipment to HuaweiIn this file photo taken on May 25, 2020, a man walks past a shop for Chinese telecoms giant Huawei in Beijing. AFP Display Co., a major display panel maker in South Korea, has received approval from the U.S. government to supply certain display products to Huawei Technologies Co., sources he2020-10-27",0.8688734173774719,Positive,2020-10-27
41,"Daegu mourns for LeeLocal residents' pay tribute to the late   Chairman Lee Kun-hee at a memorial altar set up in central Daegu, Monday. A service there was voluntarily held by local residents who live near Lee's birthplace. / Yonhap  2020-10-26",0.9646811485290527,Positive,2020-10-26
42,"Business, political moguls mourn death of  Group chief Motor Group Chairman Chung Euisun arrives for the funeral of Lee Kun-hee at  Medical Center in Seoul, Monday. YonhapBy Baek Byung-yeulA day after  Group Chairman Lee Kun-hee passed away on Sunday, leaders from political and business circles attended the memorial altar to pay th  2020-10-26",0.9618600010871887,Positive,2020-10-26
43,"Lee Jae-yong to make changes to 's corporate structureBy Kim Hyun-bin, Baek Byung-yulThe passing of   Chairman Lee Kun-hee has officially made way for Vice Chairman Lee Jae-yong to lead the group.Since the late chairman suffered a stroke in May 2014, Lee Jae-yong has taken his father's place in the management of the global   2020-10-26",0.9803060293197632,Positive,2020-10-26
44,"Two 'manageable tas' facing  leader Lee Jae-yong  Vice Chairman Lee Jae-yong, left, arrives with his children at the memorial hall at  Medical Center in Seoul where a memorial alter is set up for the group's late Chairman Lee Kun-hee, Sunday. YonhapBy Baek Byung-yeul, Kim Yoo-chul leader Lee Jae-yong, also known as  2020-10-26",0.8562352657318115,Positive,2020-10-26
45,"Heir to counteract new law governing  Life Life Insurance headquarters in Seoul / Korea Times fileBy Park Jae-hyukAfter the death of  Group Chairman Lee Kun-hee, Sunday, the proposed revision to the Insurance Business Act has emerged as the most important variable in   Vice Chairman Lee Jae-yong's plan to inh  2020-10-26",0.9323679804801941,Positive,2020-10-26
46,"Lee Kun-hee's love for art founded LeeumLouise Bourgeois's ""Maman"" is installed at the Leeum,  Museum of Art, founded by the late Lee Kun-hee. Korea Times fileBy Kwon Mee-yooThe late   Chairman Lee Kun-hee  Chairman Lee Kun-hee, who passed away Sunday, not only built the global tech giant, but al  2020-10-26",0.9709696769714355,Positive,2020-10-26
47,"Biz, political leaders attend funeral for late  chiefA man carries a wreath of flowers from Korea's National Assembly Speaker Park Byeong-seug, for the funeral of the late   chairman Lee Kun-hee outside a funeral hall in Seoul, Sunday, Oct. 25, 2020. APKey business and political leaders on Monday attended a funeral service to offer t2020-10-26",0.891487181186676,Positive,2020-10-26
48,"Key  units surge as succession issue looms following group chief's deathA flag of  flutters next to the Korean national flag outside of 's office building in Seoul, Sunday, Oct. 25, 2020. APShares in  Group's key affiliates traded higher Monday on expectations that they may increase dividend payouts to help the late  chief's scions secure fun2020-10-26",0.8673723936080933,Positive,2020-10-26
49,"Moon to send condolence message to family of late  headMoon Jae-inPresident Moon Jae-in will deliver a condolence message to the bereaved family of  Group chief Lee Kun-hee, who died at age 78, the presidential office said Sunday.Moon's chief of staff, Noh Young-min, and Cheong Wa Dae's senior secretary for economic affairs, Lee Ho-seung, plan to2020-10-25",0.9033955931663513,Positive,2020-10-25
50,"[ED]  after Lee's deathChaebol's future relies on transparent governance Group Chairman Lee Kun-hee died Sunday at 78. His death came six years and five months after he was hospitalized for a heart attack in May 2014. We extend our sincere condolences to his bereaved family and wish that he rests in peace.Lee, as c  2020-10-25",0.9850764870643616,Positive,2020-10-25
51,"Lee leaves behind 18.2 tril. won worth of  stocksLate  Group Chairman Lee Kun-hee, center, attends the 2010 Consumer  Association (CES) in Las Vegas with his family members. / Yonhap Group's market cap grew by 348 times during 27 years under chairman's leadership By Anna J. ParkHaving long been the richest person in Korea Anna J. Park  2020-10-25",0.8762177228927612,Positive,2020-10-25
52,"Lee Jae-yong to lead post-Lee Kun-hee eraIn this January 2010 file photo,  Group's Chairman Lee Kun-hee, center, appears at the company's booth at the Consumer  Show held in Las Vegas along with his son Jae-yong, right. The chairman passed away Sunday at age 78. / YonhapAchieving smooth transition key to success of new le  2020-10-25",0.909439206123352,Positive,2020-10-25
53,"Political, business circles mourn death of  chairmanCondolence flowers sent from National Assembly Speaker Park Byeong-seug arrive at the funeral venue for   Chairman Lee Kun-hee in Seoul, Sunday. YonhapBy Yi Whan-wooRival political parties and business circles mourned the death of   Chairman Lee Kun-hee, Sunday, r  2020-10-25",0.9556256532669067,Positive,2020-10-25
54,"Lee transformed  into world's tech giant'Change everything except your wife and children'By Park Jae-hyukThe late  Group Chairman Lee Kun-hee, who died at the age of 78, Sunday, has been most recognized for his opinions on the effects of crisis on a company and his pursuit of innovation, which enabled the chaebol to transform into   2020-10-25",0.9399173259735107,Positive,2020-10-25
55,"  Chairman Lee Kun-hee dies at 78By Kim Hyun-bin  Chairman Lee Kun-hee, who built the company into the nation's largest conglomerate and a global technology titan, died in Seoul, Sunday, after years of hospitalization.He was 78 years old.Late  Group Chairman Lee Kun-hee“It is with great sadness that w  2020-10-25",0.9531121850013733,Positive,2020-10-25
56,"Lee Jae-yong's smooth succession in spotlight after  chief's death  Vice Chairman Lee Jae-yong arrives at Seoul Gimpo Business Aviation Center in Seoul, Friday, after his Vietnam trip. YonhapThe succession of South Korea's top conglomerate, , by Lee Jae-yong, the only son of late  Group chief, is in the spotlight as the tech behemot2020-10-25",0.9915686249732971,Positive,2020-10-25
57," chief was wealthiest man in KoreaIn this July 6, 2011, file photo,  Chairman Lee Kun-hee, right, greets people from the Korean delegation in Durban, South Africa, for the 123rd International Olympic Committee session that will decide the host city for the 2018 Olympics Winter Games. Lee, the ailing   chairm2020-10-25",0.8670863509178162,Positive,2020-10-25
58,"Late  chief's scions to pay record high inheritance taxesThis file photo taken in 2010 shows  Group Chairman Lee Kun-hee holding the hands of his daughters, Boo-Jin and Seo-hyun, as he looks at a device displayed at CES in Las Vegas. Courtesy of  As  chief Lee Kun-hee passed away, his heirs, including his only son, Jae-yong2020-10-25",0.9460431337356567,Positive,2020-10-25
59,"s market cap up nearly 350 times under Lee's leadership ' building is seen in southern Seoul, Sunday, Oct. 25, 2020. Lee Kun-Hee, the ailing   chairman who transformed the small television maker into a global giant of consumer , has died, a  statement said Sunday. He was 78. APThe market capitalizati2020-10-25",0.9700390696525574,Positive,2020-10-25
60,"Biography timeline of late  head Lee Kun-heeLee Kun-hee, right, and his father and founder of  Lee Byung-chul. Lee Kun-hee, head of  Group, died at a hospital in Seoul, Sunday. He was 78. YonhapLee Kun-hee, chief of South Korea's top conglomerate,  Group, died at a hospital in Seoul on Sunday at age 78. The following are 2020-10-25",0.9054381251335144,Positive,2020-10-25
62," Chairman Lee Kun-hee, force behind Korea's rise to tech powerhouse, dies at 78 Chairman Lee Kun-hee / Korea Times fileLee Kun-hee, who had transformed  Group into one of the world's major tech giants from a small trading firm, died at a hospital in Seoul on Sunday at age 78, leaving a thorny succession challenge for his children.The chairman of the flagship Sams2020-10-25",0.8997979164123535,Positive,2020-10-25
63,"Korea's trade volume dips 18.3% in Q2 amid virus pandemic: dataGettyimagesbankSouth Korea's combined trade volume dropped 18.3 percent in the second quarter of 2020 from a year earlier amid the new coronavirus pandemic, data showed Sunday.Asia's No. 4 economy saw its exports and imports reach US$109 billion over the April-June period, falling $24 billion from t2020-10-25",0.8635047078132629,Negative,2020-10-25
64," leader inspects Vietnam plant  Vice Chairman Lee Jae-yong, right, talks with senior executives including Roh Tae-moon, second from left, head of the company's mobile business, during a visit to the company's smartphone factory in Bac Ninh, Vietnam, Oct. 20.  said Thursday the vice chairman visited Vietn  2020-10-22",0.7087165117263794,Positive,2020-10-22
65," helps Citi take top spot in local M&A marketCitigroup Global Markets Korea Securities CEO Park Jang-ho / Korea Times photo by Shim Hyun-chulKim & Chang another beneficiary of $9 bil. dealBy Park Jae-hyukThe relationship between  and Citi is in the limelight, after it was disclosed that Citigroup Global Markets Korea Securities served as  2020-10-21",0.9032827615737915,Positive,2020-10-21
66,"Exports fall 5.8% in first 20 days of OctoberGettyimagesbankSouth Korea's exports fell 5.8 percent on-year in the first 20 days of October amid the fallout from the new coronavirus outbreak, customs data showed Wednesday.The nation's outbound shipments stood at US$25.2 billion in the Oct. 1-20 period, compared with $26.7 billion a year ago, ac2020-10-21",0.9369947910308838,Negative,2020-10-21
67," heir looking for investment opportunities in Vietnam  Vice Chairman Lee Jae-yong, left, and Vietnamese Prime Minister Nguyen Xuan Phuc shake hands at a meeting at the prime minister's office in Hanoi, Tuesday. Yonhap Group, South Korea's top conglomerate, said the group's heir met with the leader of Vietnam on Tuesday and dis2020-10-21",0.9699926376342773,Positive,2020-10-21
68,"Big Hit Entertainment aed to cut reliance on BTSBTS / Courtesy of Big Hit EntertainmentBy Kim Jae-heunBig Hit Entertainment's heavy dependence on BTS has long been pointed out as its biggest weakness, as the group was responsible for 97.4 percent of the talent agency's revenue until last year. It would be rainbows and unicorns for Big Hit if BTS   2020-10-20",0.9420617818832397,Negative,2020-10-20
69,  ready to build 'chip empire''s Intel NAND business acquisition is largest overseas M&A deal by a Korean firmBy Baek Byung-yeul  came out with a surprising announcement on Tuesday morning that it inked a deal to acquire U.S. chip giant Intel's NAND business for $9 billion. It is the largest overseas acquisition dea  2020-10-20,0.9818920493125916,Positive,2020-10-20
70,"s global brand value ranks fifth for first timeIn this Jan. 30, 2020, file photo, a logo of  is seen at its shop in Seoul. Korea Times file  Co., the world's leading maker of smartphones and memory chips, said Tuesday its brand value was ranked fifth in the world this year for the first time. moved up to fifth mos2020-10-20",0.9653127193450928,Positive,2020-10-20
72," heir departs for Vietnam for potential investment  Vice Chairman Lee Jae-yong, center, arrives at Seoul Gimpo Business Aviation Center in Seoul, Monday, for his Vietnam trip. Yonhap  Vice Chairman Lee Jae-yong, the de facto leader of South Korea's top conglomerate, on Monday departed for Vietnam as he seeks more2020-10-19",0.9622542262077332,Positive,2020-10-19
73," set to win over TSMC in the end'  Vice Chairman Lee Jae-yong, second from left, and the company's device solutions business unit chief Kim Ki-nam, third from left, take a tour of the Dutch chip equipment maker ASML's plant in Eindhoven, Oct. 13. / Courtesy of  By Baek Byung-yeul Electroni  2020-10-18",0.9497063755989075,Positive,2020-10-18
74," heir to visit Vietnam this week  Vice Chairman Lee Jae-yong arrives at Seoul Gimpo Business Aviation Center in Seoul, Wednesday. Yonhap  Vice Chairman Lee Jae-yong, the de facto leader of South Korea's top conglomerate, plans to visit Vietnam this week, his second overseas business trip this ye2020-10-18",0.9409022331237793,Positive,2020-10-18
75," tops Forbes list of world's best employers  topped the world's best employer rankings released by U.S. business magazine Forbes, industry officials said Friday.The Korean tech giant ranked No. 1 on the Forbes list of the world's best employers for 2020 followed by U.S. tech juggernauts Amazon, IBM and Microsoft. mad2020-10-16",0.9385066628456116,Positive,2020-10-16
76,"Seoul stocks down for 4th consecutive day on virus concernsAn electronic signboard in the dealing room of Hana Bank in Seoul shows the benchmark KOSPI having fallen 19.68 points, or 0.83 percent, to close at 2,341.53, Friday. YonhapKorean shares retreated for a fourth consecutive session Friday, largely on concerns that the COVID-19 resurgence in major econ2020-10-16",0.9807081818580627,Negative,2020-10-16
77,"China points finger at Korean media over BTS disputeA photo of South Korean K-Pop group BTS is seen through a window of a duty free shop in Seoul, Oct. 14. Chinese nationalists erupted in anger at BTS after its leader thanked Korean War veterans for their sacrifices. AP-YonhapBy Yi Whan-wooChinese media, along with Chinese social media and internet u  2020-10-16",0.9139041900634766,Negative,2020-10-16
78,"French pansori singer Laure Mafo shows passion in Korean musicLaure Mafo poses during an interview with The Korea Times in Seoul, Monday. Korea Times photo by Choi Won-sukBy Kwon Mee-yooThese days most people are exposed to Korean culture through the global phenomenon of K-pop or addictive Korean dramas. However, for Cameroonian-born French citizen Laure Mafo,  2020-10-15",0.8812101483345032,Positive,2020-10-15
79,"Big Hit founder set to make super-rich listBig Hit Entertainment founder and CEO Bang Si-hyuk speaks during a ceremony of company's KOSPI listing at the Korea Exchange on Yeouido in Seoul, Thursday. YonhapBy Lee Min-hyungBig Hit Entertainment founder and CEO Bang Si-hyuk became a multi-billionaire following the initial public offering (IPO)   2020-10-15",0.907710075378418,Positive,2020-10-15
80,"s Lee confirms advanced talks with ASML  Vice Chairman Lee Jae-yong arrives at Gimpo International Airport in Seoul, Wednesday, along with the company's device solutions business unit chief Kim Ki-nam after finishing a business trip to Europe. / YonhapBy Baek Byung-yeul, Kim Yoo-chulMonths after   Vice  2020-10-14",0.7997367978096008,Positive,2020-10-14
81,"Korea to finalize specifics of digital tax next yearKo Kwang-hyo, right, the director general in charge of the income tax and corporate tax bureau under the Ministry of Economy and Finance speaks during a briefing at the Sejong Government Complex, Monday. Courtesy of Ministry of Economy and FinanceBy Lee Kyung-min “Digital tax” for Samsun  2020-10-13",0.8702974915504456,Positive,2020-10-13
82,",  cooperate in fostering local suppliersBy Anna J. Park and  are entering into strategic cooperation to facilitate the growth of small- and medium-sized (SME) suppliers, particularly in the materials, components and equipment sectors. The partnership is aimed at enhancing the competitiveness of their local partners, which in turnAnna J. Park  2020-10-13",0.9860675930976868,Positive,2020-10-13
85,"Huawei, iPhone delay boost   profitsBy Baek Byung-yeul  is estimated to have posted a better-than-expected third quarter performance as the U.S. government's stricter sanctions on Huawei has provided the Korean tech giant with a steep rise in phone sales and a rush in semiconductor orders.Industry analysts said Samsu  2020-10-08",0.8661565184593201,Negative,2020-10-08
86, aims to strengthen intra-group business approval procedures  headquarters' front entrance in Seoul. / YonhaoBy Kim Hyun-bin plans to strengthen regulations on providing internal business projects to its affiliates by establishing an additional line of approval for all of these that are worth over 5 billion won.The group's independen  2020-10-08,0.774603009223938,Positive,2020-10-08
87,"  executive abuses National Assembly's media pass systemRep. Ryu Ho-jeong of the minor opposition Justice Party speaks during a party meeting at the National Assembly in Seoul, Thursday. Ryu and other members of the party condemned an executive of   who abused the Assembly's media pass system to pay visits to Ryu's office in the Assembl  2020-10-08",0.9037787914276123,Negative,2020-10-08
88," to show BTS' 'Dynamite' at stores worldwideA customer looks at items at  shop in an  shopping mall in downtown Tehran, Iran, Monday, Nov. 5, 2018. AP  said Thursday the music video of ""Dynamite,"" K-pop sensation BTS' latest single, will be played on its TVs displayed at retail stores worldwide as the South2020-10-08",0.9471233487129211,Positive,2020-10-08
89,",  battle over QNED trademark rights  Vice Chairman Lee Jae-yong views products that use QD-LED technology at  Display's plant in Asan, South Chungcheong Province, March 19. / Courtesy of  By Baek Byung-yeul and  are scrambling to take the lead in the next-generation display technolo  2020-10-07",0.7990133762359619,Negative,2020-10-07
90,", , Apple smartphone war to reignite in Q4By Kim Hyun-binThe fierce competition in the smartphone sector is expected to continue with ,  and Apple coming out with new releases in the fourth quarter. Analysts are looking to see if the smartphone market can recover from the slump created by the COVID-19 pandemic.A model holds a red G  2020-10-06",0.9125662446022034,Negative,2020-10-06
91,"Ruling party leaders meet employersDemocratic Party of Korea Chairman Lee Nak-yon, fifth from left, poses with Korea Enterprises Federation (KEF) Chairman Sohn Kyung-shik, fourth from left, during a meeting with executives of the country's top corporations at the KEF headquarters in Mapo-gu, Seoul, Tuesday. From left are Rep. Oh Youn  2020-10-06",0.8037399649620056,Positive,2020-10-06
93," chief Chey ahead of Celltrion's Seo for new KCCI head Group Chairman Chey Tae-won speaks at   plant in Gyeonggi Province, July 9. Cheong Wa Dae Press CorpsBy Nam Hyun-woo Group Chairman Chey Tae-won is emerging as the top candidate to be new chairman of the Korea Chamber of Commerce and Industry (KCCI), the country's largest and most influe  2020-10-04",0.9438561201095581,Positive,2020-10-04
95," starts pre-sales of Godeok Hillstate apartments Hillstate Godeok y City / Courtesy of  E&C Engineering & Construction has currently begun presales of apartments to be built in its Hillstate Godeok y City complex in Pyeongtaek, Gyeonggi ProvinceThree landmark 49-story buildings will offer 665 apartments once built2020-09-29",0.8021841645240784,Positive,2020-09-29
97,"Financial group, bank CEOs avoid Assembly auditNH Investment & Securities CEO Jeong Young-chae, left, and Daishin Securities CEO Oh Ik-keun are two of the financial firm chief executives who were summoned to this year's National Assembly audit regarding the private equity fund fiascos. / Korea Times fileBy Park Jae-hyukThe COVID-19 pandemic   2020-09-27",0.9822430610656738,Negative,2020-09-27
98,",  have fingers crossed over US gov't Huawei approval2020-09-24()By Kim Hyun-binU.S. tech giants Intel and Advanced Micro Devices (AMD) received the green light from the U.S. government to supply Huawei with certain products, raising hopes for   and   to be given the same opportunity.Huawei was placed on the Entity List,  2020-09-24",0.8377020955085754,Positive,2020-09-24
99,"[Editorial] US sanctions on Huawei[  ]""Time to set up new strategies to brace for change"" ""     ""The United States began to impose additional sanctions on Chinese telecom giant Huawei Technologies Sept. 15. The sanctions ban the supply of semiconductors made with U.S. equipment, software or design to the 2020-09-24",0.7733932137489319,Negative,2020-09-24
100,", with or without unionBy Choi Sung-no has not allowed any form of union under its roof for 81 years ever since its establishment. It is 's so-called “No Union” policy. Though it may have been strict and somewhat oppressive to a certain extent, nobody doubts the relation between the absence of a 2020-09-23",0.7737920880317688,Positive,2020-09-23
